ForecastID,Confirmed,Deaths
0,272877.46759033203,3926.8679250308446
1,37511.26135253906,148.11212880803006
2,368418.21425083705,6991.783165114267
3,173244.33995274134,2668.511018548693
4,1374725.6714564732,20036.025426592147
5,265187.29866245814,3432.802324124745
6,131899.5814732143,5185.617207799639
7,40400.99569375174,789.0537787079811
8,1066777.444353376,19255.10333578927
9,508772.39622279577,9886.379190240588
10,18935.989624023438,265.6988950052432
11,112111.67234366281,1054.2175494006701
12,797409.781023298,14270.056903839111
13,386453.8643537249,6330.160454000746
14,247958.2948651995,2742.6736944828713
15,175111.245803833,1825.0970762031418
16,203748.0345023019,2102.115650687899
17,252194.27005004883,6593.023788894926
18,13537.645621163505,233.45257560006732
19,217138.7574419294,4869.6254570143565
20,258797.25674097877,11010.852311747414
21,440146.5458112444,10502.743688310895
22,355894.356375558,4078.229802812849
23,166883.96537126813,3989.7779704162053
24,332207.5751299177,4346.368823489973
25,68741.73301696777,755.120604617255
26,142055.1008039202,1227.5503990905625
27,169880.42814854212,2339.970277275358
28,25227.901495797294,566.2008202331407
29,369924.58889334544,17377.522760663713
30,110530.42501831055,1786.6023107937403
31,712613.908883231,34993.66040345601
32,396885.8519199916,5581.403814111437
33,83941.11669267926,1036.382038814681
34,482457.23496791295,7055.443754843303
35,218806.61487252373,1908.1402143580574
36,85945.71401105609,1053.7534287486758
37,432248.8571777344,11376.387927600315
38,64326.16974094936,1428.6271858172756
39,233163.03761509486,4553.652210133417
40,87203.57458932059,1127.9279963970184
41,406709.4494628906,4998.910197189876
42,1334823.4351283482,23344.170012201583
43,218371.07835170202,957.1176022802081
44,5111.696022578648,81.02011617805276
45,255741.3952331543,4235.165911231722
46,180103.09603009906,2967.164725601673
47,55289.774874006,850.6216012920652
48,447449.7400948661,4018.2229854038783
49,36904.7458556039,277.39038995972703
50,275454.4134085519,3957.0717542852676
51,38106.90747288295,150.9216225498489
52,373070.59081159317,7030.271875926426
53,175149.7983834403,2695.50919015067
54,1392529.983468192,20130.468654905046
55,269033.49939836777,3483.708285842623
56,134108.46198817663,5211.34707736969
57,41035.93975285121,793.0744717376573
58,1075125.3840157646,19351.624991825647
59,513857.8246808733,9940.617050647736
60,19034.61554799761,267.2697515115142
61,113289.12902178083,1068.7812586597033
62,806161.0673479353,14413.626280648368
63,392049.65662493027,6406.0246059553965
64,250310.65992082868,2778.3580791694776
65,177037.4143851144,1849.2122922028814
66,206488.04346575055,2124.447283574513
67,254862.37066214424,6620.772407429559
68,13742.28235571725,237.85917604983374
69,219471.1858389718,4897.736191272736
70,261989.48931544166,11040.326074668339
71,446824.4270891462,10600.12535749163
72,361093.51037597656,4124.896992342813
73,168532.67433820452,4011.437842641558
74,335537.3615635463,4399.232947106872
75,69606.58392333984,767.2683684996197
